ID                                       NAME
fdcd3665-e5cf-4c26-b8e6-77d5bf87794e     30 - Gr├íficos An├ílise Movto (PT-BR)
5c3dc5f3-0b51-42ea-b543-6f6f2736761b     GeoAnalytics WorkShop
24e77301-8847-440c-bb17-2158d183ef53     20 - Analise Movto Detalhado (PT-BR)
02b7ae23-11ba-4ab2-8d76-1a61f43b7448     Legal Intelligence - Pedro
b48293ac-f909-41a5-83d6-f1594bfe0a4e     ETL - Gera Consumer Finance
da5f14c6-de3c-41d2-b617-602f395d5ee3     Demo App - Order-to-Cash Analytics
e4a87b55-e18a-4475-8828-8661ccc76214     Demo App - SAP Procurement
3846aa0e-34fe-4a1d-9e86-452a0f4518d1     Carnes & Afins
ccc135de-9f27-4ac6-92af-c80fa1cd6deb     Retail Convenience
c6c9b028-b2c9-4d72-87b5-e3f7d33a19d4     HMD80 - CC - Command Center Executivo
36f0638c-50f3-4218-ae23-8f2e5c01f1c4     Patient Costing
82dfbae7-fe58-49bb-baeb-62942e6e2c54     International Foods - Data Marts
53997e94-99e3-4d46-8361-6bfd418bd9fc     Mortgage Sales - Extensions Showcase Edition
6cf5dc6b-f443-4f0c-9e54-e5eed69b10ed     RxSales
cd8e85ce-055f-4d41-aeb9-a9f21a982726     An├ílise QVDs
295ea0b0-95a9-42c7-b9e7-bddf1e7a2c8d     AplicativoTeste
c79cd3c5-4631-4b0f-8927-29bdda573ad1     Manuten├º├úo Equipamentos Agr├¡colas
e77576a3-c96e-4367-868c-f7d46eacd3dc     ___Top 10 Viz Tips Part V
1c37fe5f-1667-416a-8b61-c1791174e6ef     ETL - Patient Costing
225b8942-48f9-41fc-8496-f06e74a9afc8     PASI - Financeiro
91a1a649-6cb8-433a-8b31-fe7b2b5d2fc5     HMD100 - SU -Transformador Suprimentos
bcd04418-05d2-4c01-9077-bb664ffbd19b     Demo App - Visualization Showcase
4dc79540-4c29-4ac7-9123-13e422e13877     Whats New App - February 2021
d5dec763-5038-4962-af74-15ebd1771088     Demo App - Pharma Sales
f5071ec5-da56-4946-977d-e88dff85f397     HMD80 - CC - Transformador Command Center Executivo
4a5aeff6-444e-4314-b3e0-2b08f15c5fdd     TESTE_AGGR
cf662bf2-7da9-4071-aa2a-b7cb38df6c0d     DW_POSTGRES
1c35c5d0-a322-4ccd-a9ad-9b7afd72b929     testes
8139e557-43cf-4c07-a3cb-979059a42704     00_GeraDW_PG_Minute
7d131cd2-fe93-45e8-a9cf-346abe572ba9     QlikIngestion OneDrive Source
68fa27d3-c136-4a98-8953-90d8d36937de     C├│pia - HMD40 - MD - Transformador Medicina Diagn├│stica
c0d2ad9c-1a85-4633-a755-8b4ef41cba95     ValuesStored
5801ad88-0fbb-4951-9602-19aa33fcd5b3     DW_RDS
d5232e4f-b8f3-450b-a36f-c3bb53a1f406     20 - Analise Movto (PT-BR)
b9b0df7b-8517-4d18-81a0-7d816521b564     ETL - Gera Atendimentos Hospitalares
4aa80f4b-eb47-4329-be87-55829852bb73     Pharma Sales
321dfc28-b0b4-4b07-882c-32fa9bb72718     00 - Gera Tabelas Movimento Banc├írio
0559e13d-a609-442f-8a16-daecdc9e2fca     Abdalla - ETL
55fbd750-7613-42bc-96b0-a3cfa82a5cbc     CumulativeCount
1a8c461f-e3a8-4efe-86e7-56d41155b14b     Qlik SaaS Upload Log Analyzer
3919914a-5c93-421d-8e8f-9c3ae84cdb66     An├ílise Movimento Banc├írio
330c6931-0d63-4812-9afc-e6a7e707fd47     AN├üLISE COM├ëRCIO DE ROUPAS
64344a93-995d-444b-9170-17bed0a4fc58     TCC - Tweets
77d216a8-1011-4844-9586-1a960e1d49d3     00 - Painel An├ílise SnowFlake
58ca5c6c-586e-4017-9448-cf5fb4f12860     Retail Stores
a163e6da-baf0-4395-937b-5bd6892215cf     Atendimentos Hospitalares
4c97589f-6015-419e-b0b5-dbf4de778681     PT-BR - Painel Executivo
82506adf-4f93-407c-beb0-69dc4c94794e     Supply Chain Mgmt
e4de3415-c188-4588-a005-d5342c5f6b76     Consumer Sales
b1727c43-2cf3-426f-aaeb-6b7080b9ba7d     Meaning Cloud
0d062895-89cb-4f50-9ced-9d68779fce05     Insurance Claims 2019
33906c5f-ae73-452b-95ab-15d10b4a036e     Consumer Finance
a0df508d-4f06-4b5e-87de-2fc70fba556a     31 - SAP - SD_AR- Painel
56dd1606-3583-42e2-8ba7-32724a9f38e2     SAP QlikStart for FI General Ledger
a6cd84c0-6b42-4250-9108-179996e192b5     NYC Taxi Analysis - DynamicView
2e785a7e-d240-40d8-9c6b-f208c164e993     51 - SAP - MM_AP - Painel
2e0cf65c-bce8-461b-9b1d-dfdd49c11f6c     PT-BR - Gest├úo de Vendas e An├ílise de Clientes
195e798c-6494-4cbb-bf6d-9f0407d67dbb     PT-BR - Opera├º├╡es, Pedidos e Log├¡sticas
b8c20c79-f999-4a0a-8d00-ddd12542765a     Qlik Associative Difference
5c39b9bf-8918-4d1c-8694-bee2265e9d44     PT-BR - Leads de Marketing e Performance de Campanha
8f79a08f-cd7b-4a40-84dd-13487d7450fe     SAP QlikStart for Costing (CO)
f16dc201-2ce7-429f-a0e9-6e4577bf6870     02_SAP-PP_LAYOUT
266ab8fc-870f-4565-afe9-104ccc4d33f0     61 - SAP - CO_PC
5f769479-555d-443f-acd9-f5630535715a     PT-BR - Performance de Vendas, Pipeline e Produtividade
e68a1061-716a-42df-851d-d60e7f7ba9ef     Retail Convenience
7c5c4ada-8d68-480a-a1fd-747e8c7894aa     SAP QlikStart for Sales And Distributuion (SD)
0e3be315-41e6-4094-9e62-325adf58b6dc     PT-BR - Servi├ºos a Clientes & Call Center
67922ff7-43f8-4813-ae90-b83cf69e255f     02-SAP-MM_LAYOUT
2e748ad6-adbd-4b39-a708-427f9d3004ec     Helpdesk Management
e164b488-52ce-4d2b-a294-57a9492a45fb     SAP Materials Management
dea10f9e-c6e3-47b0-bed8-90f6b73c7852     02_SAP-HR_LAYOUT
432d9b28-2e06-4060-9867-64fdbab14309     02-SAP-AR_LAYOUT
0966743a-cb60-4e5f-a3f8-928eceec41c3     02-SAP-AP_LAYOUT
02846f47-d1e4-43fb-8907-10ca7dc4e8db     Advanced-KPI examples
f9975b2f-f697-4095-9c74-d1f3c10b292e     Whats New App - September 2020
78e12be9-95ba-4e3c-abf7-7bbecb4b4a64     SAP HR Dashboard
665bbae3-40aa-4b83-bf8e-6203ac790c06     Human Capital Management
44c6f7f7-461f-442f-9b49-216431e9f8d4     02_SAP-PS_LAYOUT
f97476d0-88fa-495b-b10f-d37c5741a160     VendasDemo
f855d36f-4603-4469-87c6-c124e0b3a584     Asset Deterioration
d467701e-dcae-4e81-826b-82f78efba0ca     Whats New App - November 2020
0b866a96-ff70-477e-bfb4-8bd2578bdde3     An├ílise de Deteriora├º├úo de V├ílvulas - PT-BR
648ce372-835c-42bb-9ac7-ef603b351a68     AnaliseMeetup
761fad4c-79a0-4363-bd80-996de1f84b4a     NetworkGraph
